"","LN.5years.","Code","Values"
"433","2007","X000021","-2.963409285"
"434","2008","X000021","-2.842065693"
"435","2009","X000021","-2.820623836"
"436","2010","X000021","-2.802723156"
"437","2011","X000021","-2.725633974"
"438","2012","X000021","-2.62863671"
"439","2013","X000021","-3.306438085"
"440","2014","X000021","-3.442349406"
"441","2015","X000021","-3.620844313"
"442","1995","X000022",NA
"443","1996","X000022",NA
"444","1997","X000022",NA
"445","1998","X000022",NA
"446","1999","X000022",NA
"447","2000","X000022","-3.203825615"
"448","2001","X000022","-4.075757063"
"449","2002","X000022","-4.440975068"
"450","2003","X000022","-3.352683729"
"451","2004","X000022","-2.94079484"
"452","2005","X000022","-2.692363844"
"453","2006","X000022","-2.7094352"
"454","2007","X000022","-3.166091947"
"455","2008","X000022","-3.71941347"
"456","2009","X000022","-4.68795115"
"457","2010","X000022","-3.224636194"
"458","2011","X000022","-3.207818353"
"459","2012","X000022","-3.122982986"
"460","2013","X000022","-3.108327828"
"461","2014","X000022","-3.6509387"
"462","2015","X000022","-3.526934137"
"463","1995","X000023",NA
"464","1996","X000023",NA
"465","1997","X000023",NA
"466","1998","X000023",NA
"467","1999","X000023",NA
"468","2000","X000023","-3.59670891"
"469","2001","X000023","-3.569734481"
"470","2002","X000023","-2.607712827"
"471","2003","X000023","-2.779634003"
"472","2004","X000023","-2.763590157"
"473","2005","X000023","-2.732965831"
"474","2006","X000023","-2.740236981"
"475","2007","X000023","-3.88955299"
"476","2008","X000023","-3.910660869"
"477","2009","X000023","-3.886293471"
"478","2010","X000023","-3.862210952"
"479","2011","X000023","-5.129355423"
"480","2012","X000023","-5.484082373"
"481","2013","X000023","-4.105292092"
"482","2014","X000023","-4.107329279"
"483","2015","X000023","-4.128990723"
"484","1995","X000024",NA
"485","1996","X000024",NA
"486","1997","X000024",NA
"487","1998","X000024",NA
"488","1999","X000024",NA
"489","2000","X000024","-4.113284366"
"490","2001","X000024","-4.190245539"
"491","2002","X000024","-4.175104073"
"492","2003","X000024","-4.197677837"
"493","2004","X000024","-4.762739125"
"494","2005","X000024","-4.5438235"
"495","2006","X000024","-4.468406527"
"496","2007","X000024","-4.306362397"
"497","2008","X000024","-4.349960233"
"498","2009","X000024","-4.910375603"
"499","2010","X000024","-4.874974133"
"500","2011","X000024","-4.726455951"
"501","2012","X000024","-4.641827119"
"502","2013","X000024","-4.554525767"
"503","2014","X000024","-5.338836601"
"504","2015","X000024","-5.787669673"
"505","1995","X000025",NA
"506","1996","X000025",NA
"507","1997","X000025",NA
"508","1998","X000025",NA
"509","1999","X000025",NA
"510","2000","X000025","-2.387259974"
"511","2001","X000025","-2.295577319"
"512","2002","X000025","-2.410148202"
"513","2003","X000025","-2.571027666"
"514","2004","X000025","-2.600158652"
"515","2005","X000025","-2.623169702"
"516","2006","X000025","-3.781389762"
"517","2007","X000025","-3.783170337"
"518","2008","X000025","-4.827638467"
"519","2009","X000025","-4.663643571"
"520","2010","X000025","-4.615387586"
"521","2011","X000025","-4.858166389"
"522","2012","X000025","-4.551204903"
"523","2013","X000025","-4.942685949"
"524","2014","X000025","-4.160254524"
