"","latitude","longitude","country","area","colour"
"10303",37.392,-5.99482,"Spain","Seville","white"
"10305",37.3897,-5.99426,"Spain","Seville","white"
"10308",52.9004,-2.14612,"United Kingdom","Stone","blue"
"10309",37.39253,-6,"Spain","Seville","marble"
"10310",37.39266,-6.00005,"Spain","Seville","bronze"
"10329",44.40736,8.93159,"Italy","Genova","marble"
"10344",36.73981,-5.16545,"Spain","Ronda","white"
"10448",37.17746,-3.58905,"Spain","Granada","marble"
"10498",51.02251,-1.32714,"United Kingdom","Shawford","red"
"10512",51.51438,-0.14042,"United Kingdom","London","blue"
"10554",51.45869,0.05302,"United Kingdom","London","film cell"
"10579",51.51163,-0.12344,"United Kingdom","London","stone"
"10594",53.1385,-1.55557,"United Kingdom","Matlock","blue"
"10612",50.74535,-1.69184,"United Kingdom","Highcliffe","blue"
"10637",51.49309,-0.22464,"United Kingdom","London","blue"
"10650",53.74484,-1.60081,"United Kingdom","Morley","blue"
"10656",48.86813,2.33262,"France","Paris","marble"
"10748",51.37788,-2.35701,"United Kingdom","Bath","red"
"10769",51.8885,0.89625,"United Kingdom","Colchester","blue"
"10777",51.88997,0.90876,"United Kingdom","Colchester","blue"
"10790",52.65293,-8.64,"Ireland","Limerick","green"
"10803",51.82082,-1.23651,"United Kingdom","Islip","blue"
"10804",50.9112,-1.61699,"United Kingdom","Lyndhurst","green"
"10830",51.49687,-0.1806,"United Kingdom","London","blue"
"10867",51.11839,-0.16616,"United Kingdom","Crawley","black"
"10868",51.8728,-1.48256,"United Kingdom","Charlbury","blue"
"10878",50.79958,0.25323,"United Kingdom","Eastbourne","blue"
"10881",50.89776,-1.39694,"United Kingdom","Southampton","red"
"10887",52.58322,-1.97872,"United Kingdom","Walsall","bronze"
"10888",52.5831,-1.97888,"United Kingdom","Walsall","bronze"
"10904",51.49301,-0.13701,"United Kingdom","London","terracotta"
"10907",53.51092,-2.38454,"United Kingdom","Manchester","blue"
"10922",45.46447,9.19522,"Italy","Milano","marble"
"10949",52.40591,-1.5125,"United Kingdom","Coventry","bronze"
