"","LN","Code","Values"
"542","2011","X000026","-2.734263567"
"543","2012","X000026","-2.604396842"
"544","2013","X000026","-2.532708537"
"545","2014","X000026","-2.49498191"
"546","2015","X000026","-2.423193678"
"547","1995","X000027",""
"548","1996","X000027",""
"549","1997","X000027",""
"550","1998","X000027",""
"551","1999","X000027",""
"552","2000","X000027","#N/A"
"553","2001","X000027","#N/A"
"554","2002","X000027","#N/A"
"555","2003","X000027","-2.503924795"
"556","2004","X000027","-2.416145534"
"557","2005","X000027","-2.57899798"
"558","2006","X000027","-2.873589647"
"559","2007","X000027","-2.748747253"
"560","2008","X000027","-2.553376609"
"561","2009","X000027","-2.541539465"
"562","2010","X000027","-2.534673098"
"563","2011","X000027","-2.807727354"
"564","2012","X000027","-3.71196176"
"565","2013","X000027","-3.945687791"
"566","2014","X000027","-4.237702149"
"567","2015","X000027","-4.39796033"
"568","1995","X000028",""
"569","1996","X000028",""
"570","1997","X000028",""
"571","1998","X000028",""
"572","1999","X000028",""
"573","2000","X000028","#N/A"
"574","2001","X000028","#N/A"
"575","2002","X000028","#N/A"
"576","2003","X000028","-3.673791627"
"577","2004","X000028","-3.45785843"
"578","2005","X000028","-2.806930834"
"579","2006","X000028","-2.816247839"
"580","2007","X000028","-2.81458901"
"581","2008","X000028","-2.828360635"
"582","2009","X000028","-2.797154854"
"583","2010","X000028","-3.00373001"
"584","2011","X000028","-4.004978574"
"585","2012","X000028","-3.865387337"
"586","2013","X000028","-3.934609333"
"587","2014","X000028","-4.0715861"
"588","2015","X000028","-2.913559718"
"589","1995","X000029",""
"590","1996","X000029",""
"591","1997","X000029",""
"592","1998","X000029",""
"593","1999","X000029",""
"594","2000","X000029","#N/A"
"595","2001","X000029","#N/A"
"596","2002","X000029","#N/A"
"597","2003","X000029","-4.076583701"
"598","2004","X000029","-3.854992002"
"599","2005","X000029","-3.622976298"
"600","2006","X000029","-2.934617814"
"601","2007","X000029","-2.955769964"
"602","2008","X000029","-2.707737206"
"603","2009","X000029","-2.554856403"
"604","2010","X000029","-2.208512825"
"605","2011","X000029","-2.494832044"
"606","2012","X000029","-2.748265711"
"607","2013","X000029","-2.680255074"
"608","2014","X000029","-2.53156363"
"609","2015","X000029","-2.892356439"
"610","1995","X000030",""
"611","1996","X000030",""
"612","1997","X000030",""
"613","1998","X000030",""
"614","1999","X000030",""
"615","2000","X000030","#N/A"
"616","2001","X000030","#N/A"
"617","2002","X000030","#N/A"
"618","2003","X000030","-3.063341009"
"619","2004","X000030","-2.924994694"
"620","2005","X000030","-3.069931129"
"621","2006","X000030","-1.177013681"
"622","2007","X000030","-1.154620007"
"623","2008","X000030","-1.104665272"
"624","2009","X000030","-1.1079378"
"625","2010","X000030","-1.096637875"
"626","2011","X000030","-2.989051191"
"627","2012","X000030","-2.924986934"
"628","2013","X000030","-2.89034115"
"629","2014","X000030","-2.883795418"
"630","2015","X000030","-2.719280345"
"631","1995","X000031",""
"632","1996","X000031",""
"633","1997","X000031",""
"634","1998","X000031",""
"635","1999","X000031",""
"636","2000","X000031","#N/A"
"637","2001","X000031","#N/A"
"638","2002","X000031","#N/A"
"639","2003","X000031","-3.343680312"
"640","2004","X000031","-3.601041915"
"641","2005","X000031","-3.62993471"
"642","2006","X000031","-3.628200859"
"643","2007","X000031","-3.140959437"
"644","2008","X000031","-2.590352672"
"645","2009","X000031","-1.515478948"
"646","2010","X000031","-1.574267602"
"647","2011","X000031","-1.674476043"
"648","2012","X000031","-1.735649937"
"649","2013","X000031","-1.561913936"
"650","2014","X000031","-2.192113835"
"651","2015","X000031","-2.24243051"
"652","1995","X000032",""
"653","1996","X000032",""
"654","1997","X000032",""
"655","1998","X000032",""
"656","1999","X000032",""
"657","2000","X000032","#N/A"
"658","2001","X000032","#N/A"
"659","2002","X000032","#N/A"
"660","2003","X000032","-2.462012241"
"661","2004","X000032","-2.523330234"
"662","2005","X000032","-2.623853878"
"663","2006","X000032","-2.114322044"
"664","2007","X000032","-2.163930271"
"665","2008","X000032","-1.618054783"
"666","2009","X000032","-1.576442914"
"667","2010","X000032","-1.538262451"
"668","2011","X000032","-1.65485153"
"669","2012","X000032","-1.746890221"
"670","2013","X000032","-2.39136047"
