"","CLASS_NAME","Band1","Band2","Band3","Band4"
"177","Agriculture",0.0617947727441788,0.0752952396869659,0.112092018127441,0.203083381056786
"178","Agriculture",0.0682928860187531,0.0832958891987801,0.104990929365158,0.187478616833687
"179","Agriculture",0.051198560744524,0.0650970339775085,0.0614902228116989,0.206784799695015
"180","Agriculture",0.0530959963798523,0.0575996115803719,0.0657847300171852,0.107886478304863
"181","Agriculture",0.0359999984502792,0.0454999953508377,0.0333999991416931,0.253899991512299
"182","Agriculture",0.0593990944325924,0.0773910954594612,0.100487574934959,0.216297462582588
"183","Agriculture",0.0595983527600765,0.074699878692627,0.0901945978403091,0.160083174705505
"184","Agriculture",0.068492092192173,0.0857936218380928,0.12418520450592,0.213677912950516
"185","Agriculture",0.0511999949812889,0.0683999955654144,0.0733999982476234,0.22699998319149
"186","Agriculture",0.0379999950528145,0.0464999973773956,0.0358999967575073,0.2449000030756
"187","Agriculture",0.0579998530447483,0.0658908486366272,0.0885866656899452,0.154677465558052
"188","Agriculture",0.0489978678524494,0.0643951967358589,0.0575955472886562,0.262580007314682
"189","Agriculture",0.0469964891672134,0.0525997392833233,0.0453992821276188,0.211083278059959
"190","Agriculture",0.0522945821285248,0.0696903690695763,0.0624985583126545,0.262694299221039
"191","Agriculture",0.0585976131260395,0.0707987323403358,0.0954974815249443,0.157284826040268
"192","Agriculture",0.0628993287682533,0.0731994360685349,0.0951845571398735,0.159383207559586
"193","Agriculture",0.0441936701536179,0.0579965189099312,0.0575955472886562,0.187084227800369
"194","Agriculture",0.0466975755989552,0.0567961446940899,0.059299498796463,0.214581027626991
"195","Agriculture",0.041399497538805,0.0457993112504482,0.0372887253761292,0.2416962236166
"196","Agriculture",0.0473993420600891,0.0587951578199863,0.0516845472157001,0.226497486233711
"197","Agriculture",0.0599968992173672,0.0660941451787949,0.0737909078598022,0.157781332731247
"198","Agriculture",0.0354999974370003,0.0461999997496605,0.0312000010162592,0.281399995088577
"199","Agriculture",0.0477999970316887,0.0692999958992004,0.051599994301796,0.316300004720688
"200","Agriculture",0.0368999987840652,0.0420999974012375,0.0307000000029802,0.239700004458427
"201","Agriculture",0.0469964891672134,0.0599906854331493,0.0524842627346516,0.236290827393532
